,question,document,human_answer
21,Где я могу получить справку об обучении?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )",
22,кому отдать договор фитнес-клуба?,"Выбор спортивных секций по Физической культуре будет проходить в ИС Модеус во вкладке "" Выбор модулей "". Вам нужно будет выбрать 2 интересующие Вас спортивные секции, которые будут проходить каждую неделю в одно и то же время. Ограничения : 1 ) Записаться можно не более чем на 2 занятия в неделю 2 ) Нельзя записываться на два занятия подряд. Вас могут не допустить на занятие, если Вы были на предыдущей паре и / или уже посетили два занятия за неделю. При этом расписание на наличие конфликтов Вы проверяете самостоятельно в соответствии с Вашим расписанием в ИС Модеус и расписанием спортивных секций ( во вложенных файлах ). Ваш выбор пролонгируется до конца семестра, однако в любой момент Вы можете его изменить, отписавшись от одной секции и записавшись на другую. ВАЖНО! Студент, пропустивший два занятия подряд, будет отписан автоматически. Выбор Физической культуры откроется 06. 09. 2023 и будет открыт до конца семестра. Для успешной аттестации по дисциплине « Физическая культура : элективные курсы по видам спорта » Вы должны набрать не менее 61 балла по балльно - рейтинговой оценочной шкале. Для этого Вы можете : 1 ) Посещать академические занятия ( 3 балла за каждое занятие ) ; 2 ) Принять участие в спортивно - массовых мероприятиях университета : Днях здорового образа жизни, Маршрут Дружбы, Кросс Наций, и других ( 0 - 10 баллов за каждое мероприятие ). 3 ) Принять участите в соревнованиях по видам спорта ( 0 [UNK] 60 баллов ) ; 4 ) Выполнить ВФСК ГТО ( 0 [UNK] 60 баллов ). Для оформления посещения спортивного зала вместо практических занятий по физкультуре студент к первому занятию по физической культуре представляет тренеру - преподавателю по спорту ( куратору по физкультуре ) пакет документов ( https : / / www. utmn. ru / upload / medialibrary / 676 / Polozhenie - o - realizatsii - distsiplin - _ moduley _ - po - fizicheskoy - kulture - _ sportu _. pdf ) и приходит на зачётное мероприятие. ВАЖНО!!! Все документы должны быть предоставлены в течение первой учебной недели. Список ответственных за прием документов спортзала по институтам ( Ленина, 6 ) : 1. ИГиП, Антропошкола [UNK] Пырлич Юлия Васильевна ( y. v. pyrlich @ utmn. ru ) 2. СоцГум - Ерженин Владимир Сергеевич ( v. s. erzhenin @ utmn. ru ) 3. ФЭИ - Копякова Анна Леонидовна ( a. l. kopyakova @ utmn. ru ) 4. ИнЗем - Питулин Артём Владимирович ( a. v. pitulin @ utmn. ru ) 5. ФТИ, ИнХим, ШЕН [UNK] Пырлич Юлия Васильевна ( y. v. pyrlich @ utmn. ru ) 6. ИнБио - Криводанова Наталья Александровна ( n. a. krivodanova @ utmn. ru ) 7. Школа образования - Баянов Николай Ильич ( n. i. bayanov @ utmn. ru ) 8. ШКН - Тверских Владислав Владимирович ( vl. v. tverskikh @ utmn. ru ) # физкультура",
23,"Что нужно, чтобы восстановиться?","Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e - mail : ed @ utmn. ru : Заявление https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie /, Копия паспорта ( страница с фото + регистрация ), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта, Копия СНИЛС, Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Документы, подтверждающие смену ФИО ( при необходимости ) Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / upload / medialibrary / e93 / Perezachet - distsiplin - s - zachteno - na - udovletvoritelno. pdf",
24,Как получить отсрочку от армии?,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу : ул. Перекопская, 15А каб. 408 Телефон : ( 3452 ) 59 - 75 - 83",
25,Как получить отпуск по беременности?,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по беременности и родам предоставляется обучающемуся на основании личного заявления и выданной в установленном порядке медицинской справки. Продолжительность отпуска по беременности и родам составляет 70 ( в случае многоплодной беременности [UNK] 84 ) календарных дней до родов и 70 ( в случае осложненных родов [UNK] 86, при рождении двух или более детей [UNK] 110 ) календарных дней после родов, исчисляется суммарно и предоставляется полностью независимо от числа дней, фактически использованных обучающимся до родов.",
26,Как продлить академ?,"Для рассмотрения возможности продления академического отпуска необходимо подать два заявления : на выход из отпуска, на предоставление нового отпуска. Вы можете подать заявления лично, обратившись в Единый деканат ( ул Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru Бланки заявления : https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /.",
27,кому отдать договор по физре?,"Выбор спортивных секций по Физической культуре будет проходить в ИС Модеус во вкладке "" Выбор модулей "". Вам нужно будет выбрать 2 интересующие Вас спортивные секции, которые будут проходить каждую неделю в одно и то же время. Ограничения : 1 ) Записаться можно не более чем на 2 занятия в неделю 2 ) Нельзя записываться на два занятия подряд. Вас могут не допустить на занятие, если Вы были на предыдущей паре и / или уже посетили два занятия за неделю. При этом расписание на наличие конфликтов Вы проверяете самостоятельно в соответствии с Вашим расписанием в ИС Модеус и расписанием спортивных секций ( во вложенных файлах ). Ваш выбор пролонгируется до конца семестра, однако в любой момент Вы можете его изменить, отписавшись от одной секции и записавшись на другую. ВАЖНО! Студент, пропустивший два занятия подряд, будет отписан автоматически. Выбор Физической культуры откроется 06. 09. 2023 и будет открыт до конца семестра. Для успешной аттестации по дисциплине « Физическая культура : элективные курсы по видам спорта » Вы должны набрать не менее 61 балла по балльно - рейтинговой оценочной шкале. Для этого Вы можете : 1 ) Посещать академические занятия ( 3 балла за каждое занятие ) ; 2 ) Принять участие в спортивно - массовых мероприятиях университета : Днях здорового образа жизни, Маршрут Дружбы, Кросс Наций, и других ( 0 - 10 баллов за каждое мероприятие ). 3 ) Принять участите в соревнованиях по видам спорта ( 0 [UNK] 60 баллов ) ; 4 ) Выполнить ВФСК ГТО ( 0 [UNK] 60 баллов ). Для оформления посещения спортивного зала вместо практических занятий по физкультуре студент к первому занятию по физической культуре представляет тренеру - преподавателю по спорту ( куратору по физкультуре ) пакет документов ( https : / / www. utmn. ru / upload / medialibrary / 676 / Polozhenie - o - realizatsii - distsiplin - _ moduley _ - po - fizicheskoy - kulture - _ sportu _. pdf ) и приходит на зачётное мероприятие. ВАЖНО!!! Все документы должны быть предоставлены в течение первой учебной недели. Список ответственных за прием документов спортзала по институтам ( Ленина, 6 ) : 1. ИГиП, Антропошкола [UNK] Пырлич Юлия Васильевна ( y. v. pyrlich @ utmn. ru ) 2. СоцГум - Ерженин Владимир Сергеевич ( v. s. erzhenin @ utmn. ru ) 3. ФЭИ - Копякова Анна Леонидовна ( a. l. kopyakova @ utmn. ru ) 4. ИнЗем - Питулин Артём Владимирович ( a. v. pitulin @ utmn. ru ) 5. ФТИ, ИнХим, ШЕН [UNK] Пырлич Юлия Васильевна ( y. v. pyrlich @ utmn. ru ) 6. ИнБио - Криводанова Наталья Александровна ( n. a. krivodanova @ utmn. ru ) 7. Школа образования - Баянов Николай Ильич ( n. i. bayanov @ utmn. ru ) 8. ШКН - Тверских Владислав Владимирович ( vl. v. tverskikh @ utmn. ru ) # физкультура",
28,Как восстановить пропуск?,"Для восстановления студенческого билета Вам необходимо подать заявление в Едином деканате ( ул. Семакова, д. 18, холл 3 этажа ). При себе иметь фото 3 * 4 и паспорт. Чтобы продлить студенческий билет, необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт ( ул. Семакова, д. 18, каб. 302 либо 305 ). Если Вы потеряли магнитную карту ( пропуск, проходка ), необходимо подать заявление на ее восстановление в Едином деканате ( ул. Семакова, д. 18, 3 этаж ). При себе иметь паспорт или студенческий билет. Если Ваша магнитная карта ( пропуск, проходка ) не работает, необходимо обратиться в Центр информационных технологий по адресу : ул. Ленина, д. 23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет.",
29,"что делать, если военкомат просит справку?","Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу : ул. Перекопская, 15А каб. 408 Телефон : ( 3452 ) 59 - 75 - 83",
30,Почему не могу получить справку-вызов?,"Сформировать справку - вызов Вы можете самостоятельно в личном кабинете на портале "" Вместе "" https : / / vmeste. utmn. ru / login ( раздел "" Обучение "" = > "" Справки "" ). После присвоения Вашей заявке статуса "" Выполнено "" на почту ed @ utmn. ru необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4. 5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка - вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии. При наличии академической задолженности за предыдущую сессию, справка - вызов не предоставляется.",
31,когда я могу повторно защитить ВКР?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /,
