,question,page_id,document
16,как мне получить справку с оценками?,86478994,"Для оформления академической справки ( справки о периоде обучения ) Вам необходимо подать заявку в « Единый деканат » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) либо на электронную почту ed @ utmn. ru. Академическая справка готовится в течение 5 ( пяти ) рабочих дней."
17,"просят копию зачётной книжки, что мне делать?",86478994,"Для оформления академической справки ( справки о периоде обучения ) Вам необходимо подать заявку в « Единый деканат » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) либо на электронную почту ed @ utmn. ru. Академическая справка готовится в течение 5 ( пяти ) рабочих дней."
18,Когда можно получить справку о стипендии?,86478996,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни."
19,Где получить справку о размере стипендии?,86478996,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни."
20,Часы работы бухгалтерии ТюмГУ,86478996,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни."
21,как получить справку о стипендии?,86478996,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни."
22,как получить справку о размере стипендии?,86478996,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни."
23,"мне не пришла стипендия, что делать?",86478996,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни."
24,Даты подачи заявления для восстановления на очку,86479005,"Заявления на восстановление в Университет по очной и очно - заочной формам обучения принимаются два раза в год : с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр ( триместр, модуль ) первого курса принимаются, как правило, с 10 по 25 августа."
25,Когда можно подать документы на восстановление в обучении?,86479005,"Заявления на восстановление в Университет по очной и очно - заочной формам обучения принимаются два раза в год : с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр ( триместр, модуль ) первого курса принимаются, как правило, с 10 по 25 августа."
26,Когда я могу подать заявление на восстановление?,86479005,"Заявления на восстановление в Университет по очной и очно - заочной формам обучения принимаются два раза в год : с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр ( триместр, модуль ) первого курса принимаются, как правило, с 10 по 25 августа."
27,Даты подачи заявления для восстановления на заочку,86479007,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно - экзаменационной сессии ( практики ) в соответствии с календарным учебным графиком https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /, если с момента отчисления не прошло 5 лет. Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
28,Когда можно подать документы на восстановление в обучении на заочке?,86479007,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно - экзаменационной сессии ( практики ) в соответствии с календарным учебным графиком https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /, если с момента отчисления не прошло 5 лет. Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
29,Могу ли я восстановиться на заочке?,86479007,"Заявления на восстановление в ТюмГУ принимаются не позднее, чем за 2 месяца до начала учебно - экзаменационной сессии ( практики ) в соответствии с календарным учебным графиком https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /, если с момента отчисления не прошло 5 лет. Заявления на восстановление на 1 курс 1 семестр принимаются, как правило, с 10 августа по 25 августа."
30,Сколько раз можно пересдать ГИА?,86479009,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
31,Когда я могу повторно пройти экзамены?,86479009,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
32,Сколько раз я могу пройти повторно итоговую аттестацию?,86479009,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
33,Как повторно защитить диплом?,86479011,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
34,Когда я могу повторно защитить диплом?,86479011,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
35,В какой промежуток времени я могу пройти повторную аттестацию?,86479011,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
36,когда я могу повторно защитить ВКР?,86479011,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /
37,"Что нужно, чтобы восстановиться?",86479013,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e - mail : ed @ utmn. ru : Заявление https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie /, Копия паспорта ( страница с фото + регистрация ), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта, Копия СНИЛС, Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Документы, подтверждающие смену ФИО ( при необходимости ) Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / upload / medialibrary / e93 / Perezachet - distsiplin - s - zachteno - na - udovletvoritelno. pdf"
38,Как восстановиться в обучении?,86479013,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e - mail : ed @ utmn. ru : Заявление https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie /, Копия паспорта ( страница с фото + регистрация ), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта, Копия СНИЛС, Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Документы, подтверждающие смену ФИО ( при необходимости ) Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / upload / medialibrary / e93 / Perezachet - distsiplin - s - zachteno - na - udovletvoritelno. pdf"
39,Какой перечень документов для восстановления на обучение?,86479013,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e - mail : ed @ utmn. ru : Заявление https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie /, Копия паспорта ( страница с фото + регистрация ), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта, Копия СНИЛС, Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / vosstanovlenie / Документы, подтверждающие смену ФИО ( при необходимости ) Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / upload / medialibrary / e93 / Perezachet - distsiplin - s - zachteno - na - udovletvoritelno. pdf"
40,Можно ли восстановиться на бюджет?,86479015,"Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки ( специальности ) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
41,"Я слетел с бюджета, как мне восстановиться?",86479015,"Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки ( специальности ) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
42,Могу ли я восстановаться на бюджет?,86479015,"Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки ( специальности ) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
43,Как восстановиться на договорное место?,86479017,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо заключить договор, оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
44,Как восстановиться на целевое место?,86479017,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо заключить договор, оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
45,"Можно восстановаиться, если я поступал на договор?",86479017,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо заключить договор, оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении."
46,Сколько ждать решение по академу?,86479024,"Заявление на академический отпуск подается через личный кабинет на портале "" Вместе "" в разделе "" Заявления "". ВАЖНО! Заявление на отпуск не может быть подано : 1. в период прохождения госаттестации ; 2. в случае несдачи комиссионной пересдачи. Согласно п. 1. 4 "" Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ : Решение о предоставлении отпуска принимается в течение 10 ( десяти ) дней со дня подачи обучающимся заявления и прилагаемых к нему документов ( при наличии ). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и / или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
47,Как выйти в академ?,86479024,"Заявление на академический отпуск подается через личный кабинет на портале "" Вместе "" в разделе "" Заявления "". ВАЖНО! Заявление на отпуск не может быть подано : 1. в период прохождения госаттестации ; 2. в случае несдачи комиссионной пересдачи. Согласно п. 1. 4 "" Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ : Решение о предоставлении отпуска принимается в течение 10 ( десяти ) дней со дня подачи обучающимся заявления и прилагаемых к нему документов ( при наличии ). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и / или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
48,Где взять бланк для академического отпуска?,86479024,"Заявление на академический отпуск подается через личный кабинет на портале "" Вместе "" в разделе "" Заявления "". ВАЖНО! Заявление на отпуск не может быть подано : 1. в период прохождения госаттестации ; 2. в случае несдачи комиссионной пересдачи. Согласно п. 1. 4 "" Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ : Решение о предоставлении отпуска принимается в течение 10 ( десяти ) дней со дня подачи обучающимся заявления и прилагаемых к нему документов ( при наличии ). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и / или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
49,как подать заявления на академ?,86479024,"Заявление на академический отпуск подается через личный кабинет на портале "" Вместе "" в разделе "" Заявления "". ВАЖНО! Заявление на отпуск не может быть подано : 1. в период прохождения госаттестации ; 2. в случае несдачи комиссионной пересдачи. Согласно п. 1. 4 "" Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ : Решение о предоставлении отпуска принимается в течение 10 ( десяти ) дней со дня подачи обучающимся заявления и прилагаемых к нему документов ( при наличии ). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и / или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
50,Дает ли ТюмГУ отпуск при беременности?,86479026,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по беременности и родам предоставляется обучающемуся на основании личного заявления и выданной в установленном порядке медицинской справки. Продолжительность отпуска по беременности и родам составляет 70 ( в случае многоплодной беременности [UNK] 84 ) календарных дней до родов и 70 ( в случае осложненных родов [UNK] 86, при рождении двух или более детей [UNK] 110 ) календарных дней после родов, исчисляется суммарно и предоставляется полностью независимо от числа дней, фактически использованных обучающимся до родов."
51,Как получить отпуск по беременности?,86479026,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по беременности и родам предоставляется обучающемуся на основании личного заявления и выданной в установленном порядке медицинской справки. Продолжительность отпуска по беременности и родам составляет 70 ( в случае многоплодной беременности [UNK] 84 ) календарных дней до родов и 70 ( в случае осложненных родов [UNK] 86, при рождении двух или более детей [UNK] 110 ) календарных дней после родов, исчисляется суммарно и предоставляется полностью независимо от числа дней, фактически использованных обучающимся до родов."
52,Сколько дней длится отпуск по беременности?,86479026,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по беременности и родам предоставляется обучающемуся на основании личного заявления и выданной в установленном порядке медицинской справки. Продолжительность отпуска по беременности и родам составляет 70 ( в случае многоплодной беременности [UNK] 84 ) календарных дней до родов и 70 ( в случае осложненных родов [UNK] 86, при рождении двух или более детей [UNK] 110 ) календарных дней после родов, исчисляется суммарно и предоставляется полностью независимо от числа дней, фактически использованных обучающимся до родов."
53,Не могу обучаться по мед показаниям. Что делать?,86479028,"Заявление подается через личный кабинет на портале "" Вместе "". Основанием для предоставления отпуска является заключение врачебной комиссии медицинской организации. Отпуск предоставляется по датам, указанным в заключении врачебной комиссии."
54,Как получить отпуск по мед. показаниям?,86479028,"Заявление подается через личный кабинет на портале "" Вместе "". Основанием для предоставления отпуска является заключение врачебной комиссии медицинской организации. Отпуск предоставляется по датам, указанным в заключении врачебной комиссии."
55,Границы отпуска по медицинским показаниям?,86479028,"Заявление подается через личный кабинет на портале "" Вместе "". Основанием для предоставления отпуска является заключение врачебной комиссии медицинской организации. Отпуск предоставляется по датам, указанным в заключении врачебной комиссии."
