,question,document
10,Какие способы оплаты обучения доступны?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту  udodep@utmn.ru  отдела платных образовательных услуг. На данный момент действует приказ 363-1 о предоставлении рассрочки по оплате за обучение  ознакомиться с приказом можно на сайте  utmn.ru  в разделе ""Стоимость обучения"", заполненное заявление вместе с подтверждающими документами направьте на почту  udodep@utmn.ru  или  12222@utmn.ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно-заочной  формы обучения за 30 дней до начала сессии."
11,Как связаться с отделом платных образовательных услуг?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту  udodep@utmn.ru  отдела платных образовательных услуг. На данный момент действует приказ 363-1 о предоставлении рассрочки по оплате за обучение  ознакомиться с приказом можно на сайте  utmn.ru  в разделе ""Стоимость обучения"", заполненное заявление вместе с подтверждающими документами направьте на почту  udodep@utmn.ru  или  12222@utmn.ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно-заочной  формы обучения за 30 дней до начала сессии."
12,Где находится отдел платных образовательных услуг?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту  udodep@utmn.ru  отдела платных образовательных услуг. На данный момент действует приказ 363-1 о предоставлении рассрочки по оплате за обучение  ознакомиться с приказом можно на сайте  utmn.ru  в разделе ""Стоимость обучения"", заполненное заявление вместе с подтверждающими документами направьте на почту  udodep@utmn.ru  или  12222@utmn.ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно-заочной  формы обучения за 30 дней до начала сессии."
13,Как получить документы для оплаты за обучение материнским капиталом?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту  udodep@utmn.ru  отдела платных образовательных услуг. На данный момент действует приказ 363-1 о предоставлении рассрочки по оплате за обучение  ознакомиться с приказом можно на сайте  utmn.ru  в разделе ""Стоимость обучения"", заполненное заявление вместе с подтверждающими документами направьте на почту  udodep@utmn.ru  или  12222@utmn.ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно-заочной  формы обучения за 30 дней до начала сессии."
14,Каковы сроки оплаты по договору для студентов разных форм обучения?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту  udodep@utmn.ru  отдела платных образовательных услуг. На данный момент действует приказ 363-1 о предоставлении рассрочки по оплате за обучение  ознакомиться с приказом можно на сайте  utmn.ru  в разделе ""Стоимость обучения"", заполненное заявление вместе с подтверждающими документами направьте на почту  udodep@utmn.ru  или  12222@utmn.ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно-заочной  формы обучения за 30 дней до начала сессии."
15,Где можно оформить справку о подтверждении обучения?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа Единого деканата (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
16,Какие терминалы для этого доступны?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа Единого деканата (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
17,В каких зданиях расположены эти терминалы?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа Единого деканата (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
18,"Как можно получить магнитную карту, если она отсутствует?","Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа Единого деканата (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
19,Как связаться с Единым деканатом для заказа справки об обучении?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа Единого деканата (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
20,"Как сформировать справку-вызов на портале ""Вместе""?","Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После присвоения Вашей заявке статуса ""Выполнено"" на почту  ed@utmn.ru  необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется."
21,"Где находится раздел ""Обучение"" на портале ""Вместе""?","Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После присвоения Вашей заявке статуса ""Выполнено"" на почту  ed@utmn.ru  необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется."
22,Какой адрес электронной почты для сообщения о способе получения готовой справки?,"Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После присвоения Вашей заявке статуса ""Выполнено"" на почту  ed@utmn.ru  необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется."
