,question,document
12,Где находится Сервисный центр бухгалтерии?,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту  12222@utmn.ru  или позвонив (3452) 59-76-76.  Адрес местонахождения: г. Тюмень, ул. Кирова, д.25/1. Часы работы: пн.-чт. 09.00-17.00 пт. 09.00-16.00 обед 12.30-13.15 сб., вс. - выходные дни."
13,"Какие условия необходимо удовлетворять для восстановления в Университете после отчисления, и какие документы нужно предоставить для этого?","Восстановление для обучения в Университете возможно в течение пяти лет после отчисления при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки (специальности) и на курсе, но не ранее завершения учебного года в котором указанное лицо было отчислено. Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета осуществляется однократно при наличии вакантных мест и на конкурсной основе. Заявления на восстановление в Университет по  очной и очно-заочной  формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр. Заявления на восстановление на  заочную форму  обучения принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком   https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Восстановление на  первый семестр  (триместр, модуль)  первого курса  допускается в случае, если перезачету подлежит одна и более дисциплины, изученные им ранее. Заявления на восстановление на первый семестр (триместр, модуль) первого курса по всем формам обучения принимаются, как правило, с 10 по 25 августа соответствующего календарного года. Необходимый пакет документов для восстановления: - Заявление о восстановлении;  - Заявление на перезачет дисциплин с оценки «зачтено» на оценку «удовлетворительно»; - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланки заявлений и бланки согласий на обработку персональных данных можно скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru"
14,"Можно ли восстановиться в Университете на заочную форму обучения, и если да, то как и когда можно подать заявление?","Восстановление для обучения в Университете возможно в течение пяти лет после отчисления при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки (специальности) и на курсе, но не ранее завершения учебного года в котором указанное лицо было отчислено. Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета осуществляется однократно при наличии вакантных мест и на конкурсной основе. Заявления на восстановление в Университет по  очной и очно-заочной  формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр. Заявления на восстановление на  заочную форму  обучения принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком   https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Восстановление на  первый семестр  (триместр, модуль)  первого курса  допускается в случае, если перезачету подлежит одна и более дисциплины, изученные им ранее. Заявления на восстановление на первый семестр (триместр, модуль) первого курса по всем формам обучения принимаются, как правило, с 10 по 25 августа соответствующего календарного года. Необходимый пакет документов для восстановления: - Заявление о восстановлении;  - Заявление на перезачет дисциплин с оценки «зачтено» на оценку «удовлетворительно»; - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланки заявлений и бланки согласий на обработку персональных данных можно скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru"
15,"Какие сроки подачи заявления на восстановление в Университете, и какие документы необходимо иметь при личной подаче заявления в Едином деканате?","Восстановление для обучения в Университете возможно в течение пяти лет после отчисления при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки (специальности) и на курсе, но не ранее завершения учебного года в котором указанное лицо было отчислено. Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета осуществляется однократно при наличии вакантных мест и на конкурсной основе. Заявления на восстановление в Университет по  очной и очно-заочной  формам обучения принимаются два раза в год: с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр. Заявления на восстановление на  заочную форму  обучения принимаются не позднее, чем за 2 месяца до начала учебно-экзаменационной сессии (практики) в соответствии с календарным учебным графиком   https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Восстановление на  первый семестр  (триместр, модуль)  первого курса  допускается в случае, если перезачету подлежит одна и более дисциплины, изученные им ранее. Заявления на восстановление на первый семестр (триместр, модуль) первого курса по всем формам обучения принимаются, как правило, с 10 по 25 августа соответствующего календарного года. Необходимый пакет документов для восстановления: - Заявление о восстановлении;  - Заявление на перезачет дисциплин с оценки «зачтено» на оценку «удовлетворительно»; - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланки заявлений и бланки согласий на обработку персональных данных можно скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru"
16,"Как я могу восстановиться к ГИА если я уже подал заявление на восстановление, но еще не успел пройти аттестацию?","Лицо, не прошедшее государственную итоговую аттестацию,  может повторно пройти государственную итоговую аттестацию (далее - ГИА)  не ранее чем через 10 месяцев  и не позднее чем через пять лет после срока проведения ГИА впервые.   Указанное лицо может повторно пройти ГИА не более двух раз после прохождения ГИА впервые. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Необходимый пакет документов для восстановления: - Заявление о восстановлении для прохождения ГИА;  - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланк заявления и бланки согласий на обработку персональных данных можно скачать по ссылке   https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru"
17,"Можно ли подавать заявления на восстановление в Едином деканате только лично, или есть возможность подачи документов дистанционно?","Лицо, не прошедшее государственную итоговую аттестацию,  может повторно пройти государственную итоговую аттестацию (далее - ГИА)  не ранее чем через 10 месяцев  и не позднее чем через пять лет после срока проведения ГИА впервые.   Указанное лицо может повторно пройти ГИА не более двух раз после прохождения ГИА впервые. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Необходимый пакет документов для восстановления: - Заявление о восстановлении для прохождения ГИА;  - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланк заявления и бланки согласий на обработку персональных данных можно скачать по ссылке   https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru"
18,"Какие документы мне нужно предоставить, если я являюсь иностранным гражданином и хочу восстановиться для прохождения ГИА?","Лицо, не прошедшее государственную итоговую аттестацию,  может повторно пройти государственную итоговую аттестацию (далее - ГИА)  не ранее чем через 10 месяцев  и не позднее чем через пять лет после срока проведения ГИА впервые.   Указанное лицо может повторно пройти ГИА не более двух раз после прохождения ГИА впервые. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/ Необходимый пакет документов для восстановления: - Заявление о восстановлении для прохождения ГИА;  - Согласие на обработку персональных данных;   - Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения;   - Копия паспорта (страница с фото + прописка. Если паспорт иностранного гражданина, то также копия перевода паспорта);   - Копия СНИЛС (при наличии).     Бланк заявления и бланки согласий на обработку персональных данных можно скачать по ссылке   https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Заявление Вы можете подать лично в Едином деканате по адресу ул.Семакова, д.18 (3 этаж, холл) (при себе необходимо иметь паспорт и СНИЛС), либо дистанционно, отправив пакет документов на электронную почту  ed@utmn.ru"
48,"1. ""Можно ли указывать различные льготные категории граждан, если в документе указано, что следует выбирать только одну из них?""","Отношусь к малочисленным народам севера  
 
                                                                               (да/нет)  
Отношусь к льготным категориям граждан  
________________________________________________________________ ________________  
(к детям -сиротам и детям, оставшимися без попеч ения родителей, или к лицам из их числа; 
к лицам, потерявшим в период обучения обоих родителей или единственного родителя;  
к детям -инвалидам, инвалидам I и II групп, инвалидам с детства; обучающемуся, 
получавшему государственную социальную помощь; обучающе муся, подвергшегося 
воздействию радиации вследствие катастрофы на Чернобыльской АЭС и иных радиационных 
катастроф, вследствие ядерных испытаний на Семипалатинском полигоне; обучающемуся, 
являющимся инвалидом вследствие военной травмы или заболевания, получ енных в период 
прохождения военной службы; ветеранам боевых действий; обучающемуся в возрасте  
до 20 лет, у которого единственный родитель является инвалидом I группы)  
 
 
ФИО (полностью)  _________ ___________ ____ ____ __    _______ ____________ _____. 
                                                                                                                                (подпись)  
 
 
Приложение:  паспортные данные , согласие на обработку персональных данных,  согласие на 
обработку персональных данных, разрешенных субъектом персональных данных  
для распространения , страховой номер индивидуального лицевого счёта  (СНИЛС) , справка  
о периоде обучения (справка об обучении) (при наличии).  
 
 
Наличие вакантных мест (количество)  _________  
Подп ись, дата"
49,"2. ""Какой формат нужно использовать для указания ФИО и подписи в документе?""","Отношусь к малочисленным народам севера  
 
                                                                               (да/нет)  
Отношусь к льготным категориям граждан  
________________________________________________________________ ________________  
(к детям -сиротам и детям, оставшимися без попеч ения родителей, или к лицам из их числа; 
к лицам, потерявшим в период обучения обоих родителей или единственного родителя;  
к детям -инвалидам, инвалидам I и II групп, инвалидам с детства; обучающемуся, 
получавшему государственную социальную помощь; обучающе муся, подвергшегося 
воздействию радиации вследствие катастрофы на Чернобыльской АЭС и иных радиационных 
катастроф, вследствие ядерных испытаний на Семипалатинском полигоне; обучающемуся, 
являющимся инвалидом вследствие военной травмы или заболевания, получ енных в период 
прохождения военной службы; ветеранам боевых действий; обучающемуся в возрасте  
до 20 лет, у которого единственный родитель является инвалидом I группы)  
 
 
ФИО (полностью)  _________ ___________ ____ ____ __    _______ ____________ _____. 
                                                                                                                                (подпись)  
 
 
Приложение:  паспортные данные , согласие на обработку персональных данных,  согласие на 
обработку персональных данных, разрешенных субъектом персональных данных  
для распространения , страховой номер индивидуального лицевого счёта  (СНИЛС) , справка  
о периоде обучения (справка об обучении) (при наличии).  
 
 
Наличие вакантных мест (количество)  _________  
Подп ись, дата"
50,"3. ""Что должно быть указано в приложении к документу, если ученик не имеет страхового номера индивидуального лицевого счета (СНИЛС)?""","Отношусь к малочисленным народам севера  
 
                                                                               (да/нет)  
Отношусь к льготным категориям граждан  
________________________________________________________________ ________________  
(к детям -сиротам и детям, оставшимися без попеч ения родителей, или к лицам из их числа; 
к лицам, потерявшим в период обучения обоих родителей или единственного родителя;  
к детям -инвалидам, инвалидам I и II групп, инвалидам с детства; обучающемуся, 
получавшему государственную социальную помощь; обучающе муся, подвергшегося 
воздействию радиации вследствие катастрофы на Чернобыльской АЭС и иных радиационных 
катастроф, вследствие ядерных испытаний на Семипалатинском полигоне; обучающемуся, 
являющимся инвалидом вследствие военной травмы или заболевания, получ енных в период 
прохождения военной службы; ветеранам боевых действий; обучающемуся в возрасте  
до 20 лет, у которого единственный родитель является инвалидом I группы)  
 
 
ФИО (полностью)  _________ ___________ ____ ____ __    _______ ____________ _____. 
                                                                                                                                (подпись)  
 
 
Приложение:  паспортные данные , согласие на обработку персональных данных,  согласие на 
обработку персональных данных, разрешенных субъектом персональных данных  
для распространения , страховой номер индивидуального лицевого счёта  (СНИЛС) , справка  
о периоде обучения (справка об обучении) (при наличии).  
 
 
Наличие вакантных мест (количество)  _________  
Подп ись, дата"
51,Какие документы необходимо предоставить для получения академического отпуска по медицинским причинам?,"Заявление на академический отпуск подается через личный кабинет на портале ""Вместе"" в разделе ""Обучение"" →  ""Заявления"". Академический отпуск предоставляется обучающемуся в связи с невозможностью освоения образовательной программы среднего профессионального или высшего образования в университете по медицинским показаниям, семейным и иным обстоятельствам сроком не более двух лет. Академический отпуск может предоставляться обучающемуся неограниченное количество раз. ВАЖНО!  Обучающемуся, имеющему академическую задолженность по итогам второй повторной промежуточной аттестации, отпуск не предоставляется. В этом случае обучающийся подлежит отчислению, как не выполнивший обязанности по добросовестному освоению образовательной программы и выполнению учебного плана. Основанием для принятия решения о предоставлении обучающемуся академического отпуска является: − повестка военного комиссариата, содержащая время и место отправки к месту прохождения военной службы -  в связи с призывом на военную службу;  − заключение врачебной комиссии медицинской организации –  по медицинским показаниям; − заключение врачебной комиссии медицинской организации или медицинской справки, в которой указано, что родственник нуждается в постоянном уходе, и документа, подтверждающего родственные отношения –  по уходу за больным родственником ; − копия приглашения зарубежного учебного заведения (в переводе на русский язык) –  для обучения в учебных заведениях иностранных государств  (при сроке обучения более полугода); − письмо Департамента физической культуры, спорта и дополнительного образования Тюменской области или других спортивных организаций –  для подготовки и участия в российских или международных соревнованиях ; − описание стартап - проекта, либо выписка из Единого государственного реестра юридических лиц (далее – ЕГРЮЛ) и копии учредительных документов –  для участия в создании стартап - проекта  или для работы в созданном университетском стартапе; − документ, подтверждающий необходимость отпуска (при наличии) – в других исключительных случаях, в т.ч.  по семейным обстоятельствам . В случае предоставления обучающемуся академического отпуска по семейным и иным обстоятельствам дата начала отпуска устанавливается не ранее, чем 10 календарных дней после даты подачи заявления. Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и/или нерабочим днем. За 3 недели до даты окончания отпуска необходимо подать заявление на выход из академического отпуска.  Бланк заявления на выход из академического отпуска можете скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ ."
